month,housing_observation_kind,moscow_secondary_rub_m2,spb_secondary_rub_m2,moscow_primary_rub_m2,spb_primary_rub_m2,new_york_housing_index,london_housing_gbp,paris_secondary_eur_m2,vienna_housing_index,hong_kong_housing_index,usd_rub,eur_rub,gbp_rub,jpy_rub,hkd_rub,sp500_close,imoex_close,nasdaq100_close,russell2000_close,dowjones_close,rtsi_close,dax_price_close,nikkei225_close,gold_usd_oz
2016-02,interpolated,183419.33,87808.63,167173.06,91405.11,244.736667,490000.0,8003.33,217.633333,273.7,75.0903,82.9748,105.0663,0.665222,9.801987,1932.22998,1840.17,4201.120117,1033.900024,16516.5,768.8,4746.419922,16026.759766,1234.9
2016-03,reported,181257.34,90514.52,159613.38,90785.59,243.4,497000.0,8010.0,220.3,271.4,67.6076,76.5386,97.5442,0.603074,8.669785,2059.73999,1871.15,4483.660156,1114.030029,17685.089844,876.2,4980.740234,16758.669922,1237.0
2016-04,interpolated,181867.08,90299.44,157574.33,92169.3,246.17,494000.0,8050.0,218.533333,273.3,64.3334,73.3015,93.9782,0.600994,8.285839,2065.300049,1953.05,4341.299805,1130.849976,17773.640625,951.11,4985.220215,16666.050781,1285.65
2016-05,interpolated,182476.82,90084.35,155535.29,93553.01,248.94,500000.0,8090.0,216.766667,275.8,66.0825,73.497,96.5465,0.59408,8.483033,2096.949951,1899.01,4523.890137,1154.790039,17787.199219,904.33,5002.740234,17234.980469,1212.1
2016-06,reported,183086.56,89869.27,153496.24,94936.72,251.71,501000.0,8130.0,215.0,276.4,64.2575,71.2102,86.0472,0.627668,8.267278,2098.860107,1891.09,4417.700195,1151.920044,17929.990234,930.77,4713.910156,15575.919922,1320.75
2016-07,interpolated,182579.3,89972.59,154756.48,95028.9,253.296667,509000.0,8186.67,215.1,281.7,67.0512,74.3799,88.3534,0.645934,8.627758,2173.600098,1944.62,4730.22998,1219.939941,18432.240234,927.57,5031.509766,16569.269531,1342.0
2016-08,interpolated,182072.04,90075.9,156016.73,95121.07,254.883333,505000.0,8243.33,215.2,287.4,64.9072,72.5013,84.8986,0.633952,8.395532,2170.949951,1971.59,4771.049805,1239.910034,18400.880859,950.25,5155.930176,16887.400391,1309.25
2016-09,reported,181564.78,90179.22,157276.97,95213.25,256.47,505000.0,8300.0,215.3,296.2,63.1581,70.8823,82.1813,0.622431,8.190035,2168.27002,1978.0,4875.700195,1251.650024,18308.150391,990.88,5116.120117,16449.839844,1322.5
2016-10,interpolated,181355.51,90030.57,156528.98,95760.36,256.863333,504000.0,8310.0,216.666667,304.3,62.9037,68.6783,76.579,0.597404,8.090556,2126.149902,1989.64,4801.27002,1191.390015,18142.419922,988.74,5191.069824,17425.019531,1272.0
2016-11,interpolated,181146.24,89881.93,155780.98,96307.46,257.256667,504000.0,8320.0,218.033333,306.7,64.9449,68.8416,80.6356,0.578187,8.345549,2198.810059,2104.91,4810.810059,1322.339966,19123.580078,1029.05,5179.040039,18308.480469,1178.1
